iter	Logloss
0	0.547382864
1	0.4585807381
2	0.4006170558
3	0.3636092593
4	0.3381242018
5	0.3216662148
6	0.3092683225
7	0.2981871114
8	0.2918571565
9	0.2873171515
10	0.2800348917
11	0.275815435
12	0.272905877
13	0.2689219538
14	0.2677146249
15	0.2661635945
16	0.2650415665
17	0.2630595651
18	0.2615536354
19	0.2590528901
20	0.2566382952
21	0.2558028476
22	0.2535505332
23	0.2488742574
24	0.2440933434
25	0.2423639299
26	0.2412441793
27	0.2402718637
28	0.2377160922
29	0.2361702191
30	0.2339064644
31	0.2330816921
32	0.232374763
33	0.2307406131
34	0.2302448353
35	0.2294908453
36	0.228379282
37	0.2269558703
38	0.2264993631
39	0.224476558
40	0.2217331626
41	0.2208864369
42	0.2193305938
43	0.2189027446
44	0.2165302633
45	0.2162314058
46	0.2144981588
47	0.21373096
48	0.2132823499
49	0.2129153428
50	0.2117942501
51	0.2105463501
52	0.2076722517
53	0.2065701627
54	0.2049718554
55	0.204192016
56	0.2035496064
57	0.2024614612
58	0.2013557641
59	0.2009095056
60	0.2002409506
61	0.1997894835
62	0.1995726565
63	0.199223702
64	0.1981951655
65	0.197799413
66	0.1972992686
67	0.1961474855
68	0.1957360013
69	0.1954040152
70	0.1949250624
71	0.1946162172
72	0.1934391911
73	0.1921119058
74	0.1917734194
75	0.1915281627
76	0.1906703164
77	0.1904404767
78	0.1900711791
79	0.1893842897
80	0.1890114429
81	0.1888672141
82	0.1882403294
83	0.1878448662
84	0.1874711397
85	0.1872608133
86	0.1870628214
87	0.1862061456
88	0.1857575246
89	0.1854553346
90	0.1851004158
91	0.1849148639
92	0.1846910462
93	0.1842657477
94	0.1839767692
95	0.1827892453
96	0.1822802319
97	0.1816375692
98	0.1812413586
99	0.1810724226
