iter	Passed	Remaining
0	206	20457
1	234	11490
2	249	8062
3	259	6216
4	267	5080
5	275	4309
6	284	3774
7	291	3356
8	299	3025
9	306	2759
10	313	2536
11	322	2362
12	331	2216
13	338	2081
14	346	1962
15	353	1854
16	361	1762
17	369	1684
18	376	1603
19	383	1534
20	389	1465
21	396	1407
22	407	1364
23	415	1314
24	419	1258
25	425	1212
26	434	1174
27	442	1137
28	453	1109
29	460	1074
30	470	1047
31	479	1019
32	488	991
33	494	960
34	502	933
35	508	904
36	516	880
37	526	859
38	534	835
39	543	814
40	551	793
41	558	771
42	566	750
43	574	731
44	582	712
45	591	694
46	599	675
47	607	657
48	611	636
49	617	617
50	621	597
51	628	579
52	640	567
53	649	553
54	658	538
55	668	525
56	676	510
57	681	493
58	685	476
59	690	460
60	699	447
61	706	433
62	710	417
63	719	404
64	725	390
65	729	375
66	735	362
67	740	348
68	747	335
69	754	323
70	758	309
71	766	298
72	777	287
73	784	275
74	789	263
75	795	251
76	804	240
77	812	229
78	817	217
79	822	205
80	831	195
81	839	184
82	848	173
83	855	162
84	863	152
85	870	141
86	874	130
87	878	119
88	884	109
89	894	99
90	902	89
91	907	78
92	912	68
93	919	58
94	924	48
95	931	38
96	939	29
97	946	19
98	953	9
99	957	0
