Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,Senaryo
Logistic Regression,0.8799675587996756,0.7269503546099291,0.3583916083916084,0.48009367681498827,0.8914294851295171,1. Baseline
Decision Tree,0.8521221951878886,0.5209380234505863,0.5437062937062938,0.5320786997433704,0.7261224145218389,1. Baseline
Random Forest,0.8999729656663963,0.7404761904761905,0.5437062937062938,0.6270161290322581,0.9144075064685874,1. Baseline
SVM (RBF kernel),0.8502297918356313,0.5135542168674698,0.5961538461538461,0.551779935275081,0.836201055100959,1. Baseline
K-Nearest Neighbors,0.8688834820221681,0.6407766990291263,0.34615384615384615,0.44948921679909193,0.7837624479773504,1. Baseline
Gradient Boosting,0.8983509056501757,0.7067510548523207,0.5856643356643356,0.6405353728489483,0.9265488269325814,1. Baseline
XGBoost,0.8888888888888888,0.6701902748414377,0.5541958041958042,0.6066985645933014,0.914316655522284,1. Baseline
LightGBM,0.8940254122735874,0.6882845188284519,0.5751748251748252,0.6266666666666667,0.9247787709572167,1. Baseline
CatBoost,0.8967288456339552,0.7065217391304348,0.5681818181818182,0.6298449612403101,0.9245394835417221,1. Baseline
Enhanced Deep Learning,0.8959178156258448,0.7159353348729792,0.541958041958042,0.6169154228855721,0.923239057073403,1. Baseline
TabNet,0.8942957556096243,0.6792079207920793,0.5996503496503497,0.6369545032497679,0.9132689344553752,1. Baseline
Logistic Regression,0.8615842119491754,0.5379746835443038,0.743006993006993,0.6240822320117474,0.9004648213954259,2. SMOTE Only
Decision Tree,0.8556366585563666,0.5281065088757396,0.6241258741258742,0.5721153846153846,0.7610555817703243,2. SMOTE Only
Random Forest,0.8894295755609625,0.6283464566929133,0.6975524475524476,0.6611433305716653,0.915962315586556,2. SMOTE Only
SVM (RBF kernel),0.8521221951878886,0.5207986688851913,0.5472027972027972,0.5336743393009378,0.832327450291953,2. SMOTE Only
K-Nearest Neighbors,0.7702081643687483,0.3645224171539961,0.6538461538461539,0.46808510638297873,0.7907571322185968,2. SMOTE Only
Gradient Boosting,0.8848337388483374,0.6106060606060606,0.7045454545454546,0.6542207792207793,0.92514385199067,2. SMOTE Only
XGBoost,0.8886185455528521,0.6492537313432836,0.6083916083916084,0.628158844765343,0.9156383271349693,2. SMOTE Only
LightGBM,0.8940254122735874,0.6607142857142857,0.6468531468531469,0.6537102473498233,0.9251829877829238,2. SMOTE Only
CatBoost,0.894566098945661,0.6672794117647058,0.6346153846153846,0.6505376344086021,0.9202893365029597,2. SMOTE Only
Enhanced Deep Learning,0.8661800486618005,0.5464414957780458,0.791958041958042,0.6466809421841542,0.9186109700980183,2. SMOTE Only
