Model;Accuracy;Recall;F1-Score;AUC;Senaryo;;Model;Accuracy;Recall;F1-Score;AUC;Senaryo;;Model;Accuracy;Recall;F1-Score;AUC;Senaryo
Logistic Regression;"0,842";"0,771";"0,817";"0,911";0;;Logistic Regression;"0,845";"0,771";"0,82";"0,91";1;;Logistic Regression;"0,842";"0,771";"0,817";"0,911";4
Naive Bayes;"0,819";"0,785";"0,798";"0,895";0;;Naive Bayes;"0,806";"0,735";"0,774";"0,893";1;;Naive Bayes;"0,819";"0,785";"0,798";"0,895";4
Random Forest;"0,809";"0,757";"0,783";"0,896";0;;Random Forest;"0,802";"0,771";"0,78";"0,878";1;;Random Forest;"0,848";"0,778";"0,824";"0,914";4
SVM;"0,832";"0,771";"0,806";"0,9";0;;SVM;"0,825";"0,756";"0,794";"0,9";1;;SVM;"0,845";"0,757";"0,815";"0,906";4
XGBoost;"0,763";"0,721";"0,732";"0,881";0;;XGBoost;"0,822";"0,799";"0,803";"0,887";1;;XGBoost;"0,836";"0,814";"0,82";"0,906";4
KNN;"0,822";"0,771";"0,796";"0,877";0;;KNN;"0,799";"0,757";"0,774";"0,873";1;;KNN;"0,829";"0,764";"0,802";"0,906";4
AVG;"0,8145";"0,762666667";"0,788666667";"0,893333333";0;;AVG;"0,8165";"0,764833333";"0,790833333";"0,890166667";1;;AVG;"0,8365";"0,778166667";"0,812666667";"0,906333333";4
;;;;;;;Artýþ-xgb;"7,732634338";"10,81830791";"9,699453552";"0,681044268";;;Artýþ-xgb;"9,567496723";"12,89875173";"12,02185792";"2,837684449";
;;;;;;;;;;;;;;;;;;;
Model;Accuracy;Recall;F1-Score;AUC;Senaryo;;Model;Accuracy;Recall;F1-Score;AUC;Senaryo;;Model;Accuracy;Recall;F1-Score;AUC;Senaryo
Logistic Regression;"0,839";"0,778";"0,815";"0,91";2;;Logistic Regression;"0,842";"0,806";"0,837";"0,908";3;;Logistic Regression (Best);"0,845";"0,824";"0,843";"0,916";5
Naive Bayes;"0,812";"0,785";"0,793";"0,878";2;;Naive Bayes;"0,821";"0,781";"0,811";"0,889";3;;XGBoost (Worst);"0,83";"0,849";"0,834";"0,909";5
Random Forest;"0,812";"0,757";"0,786";"0,895";2;;Random Forest;"0,83";"0,805";"0,824";"0,911";3;;AVG;"0,8375";"0,8365";"0,8385";"0,9125";5
SVM;"0,819";"0,721";"0,781";"0,898";2;;SVM;"0,836";"0,799";"0,828";"0,902";3;;;;;;;
XGBoost;"0,789";"0,771";"0,769";"0,887";2;;XGBoost;"0,83";"0,811";"0,826";"0,899";3;;;;;;;
KNN;"0,799";"0,735";"0,769";"0,87";2;;KNN;"0,83";"0,824";"0,827";"0,901";3;;;;;;;
AVG;"0,811666667";"0,757833333";"0,7855";"0,889666667";2;;AVG;"0,8315";"0,804333333";"0,8255";"0,901666667";3;;;;;;;
;;;;;;;Artýþ;0;"4,539559014";"2,447980416";"-0,329308452";;;;;;;;
;;;;;;;Artýþ;"0,244200244";"-0,50955414";"1,629072682";"-0,670391061";;;;;;;;
;;;;;;;Artýþ;"2,595797281";"6,340819022";"5,236270754";"1,674107143";;;;;;;;
;;;;;;;Artýþ;"0,480769231";"3,631647211";"2,729528536";"0,222222222";;;;;;;;
;;;;;;;Artýþ;"8,78112713";"12,48266297";"12,84153005";"2,043132804";;;;;;;;
;;;;;;;Artýþ;"0,97323601";"6,874189364";"3,894472362";"2,736602052";;;;;;;;
